issuer,title_of_class,cusip,value_thousands_usd,shares_or_principal,sh_or_prn,investment_discretion,voting_sole,voting_shared,voting_none
NVIDIA CORPORATION,COM,67066G104,2118004968,11356595,SH,SOLE,4470671,0,6885924
APPLE INC,COM,037833100,1730185549,6364252,SH,SOLE,2602995,0,3761257
MICROSOFT CORP,COM,594918104,1428263823,2953277,SH,SOLE,1246592,0,1706685
AMAZON COM INC,COM,023135106,876692445,3798165,SH,SOLE,1575692,0,2222473
ALPHABET INC,CAP STK CL A,02079K305,854932582,2731414,SH,SOLE,1247516,0,1483898
META PLATFORMS INC,CL A,30303M102,713045720,1080225,SH,SOLE,436681,0,643544
BROADCOM INC,COM,11135F101,663830183,1918030,SH,SOLE,822050,0,1095980
ALPHABET INC,CAP STK CL C,02079K107,569670637,1815394,SH,SOLE,582255,0,1233139
TESLA INC,COM,88160R101,433582248,964116,SH,SOLE,379495,0,584621
MASTERCARD INCORPORATED,CL A,57636Q104,377859192,661889,SH,SOLE,250267,0,411622
ELI LILLY & CO,COM,532457108,363096758,337865,SH,SOLE,130397,0,207468
PHILIP MORRIS INTL INC,COM,718172109,265583423,1655757,SH,SOLE,502592,0,1153165
JPMORGAN CHASE & CO.,COM,46625H100,262270647,813949,SH,SOLE,373552,0,440397
SYNCHRONY FINANCIAL,COM,87165B103,251637812,3016155,SH,SOLE,1269845,0,1746310
MCKESSON CORP,COM,58155Q103,245754783,299595,SH,SOLE,134297,0,165298
BANK AMERICA CORP,COM,060505104,232152745,4220959,SH,SOLE,1295903,0,2925056
PALANTIR TECHNOLOGIES INC,CL A,69608A108,229656022,1292017,SH,SOLE,346128,0,945889
WALMART INC,COM,931142103,215042245,1930188,SH,SOLE,641036,0,1289152
SERVICENOW INC,COM,81762P102,212053564,1384252,SH,SOLE,581647,0,802605
HARTFORD INSURANCE GROUP INC,COM,416515104,209224772,1518322,SH,SOLE,659255,0,859067
BOOKING HOLDINGS INC,COM,09857L108,204852083,38252,SH,SOLE,18783,0,19469
ARISTA NETWORKS INC,COM SHS,040413205,192727703,1470867,SH,SOLE,493246,0,977621
LAM RESEARCH CORP,COM NEW,512807306,190490473,1112808,SH,SOLE,580029,0,532779
GENERAL DYNAMICS CORP,COM,369550108,178999765,531693,SH,SOLE,256128,0,275565
BRISTOL-MYERS SQUIBB CO,COM,110122108,177776531,3295820,SH,SOLE,1267794,0,2028026
SIMON PPTY GROUP INC NEW,COM,828806109,176758392,954883,SH,SOLE,329964,0,624919
EXXON MOBIL CORP,COM,30231G102,176698832,1468330,SH,SOLE,375276,0,1093054
ALLSTATE CORP,COM,020002101,176557409,848222,SH,SOLE,398211,0,450011
PENTAIR PLC,SHS,G7S00T104,161514371,1550935,SH,SOLE,825738,0,725197
EXELON CORP,COM,30161N101,160715371,3686978,SH,SOLE,1773949,0,1913029
NEWMONT CORP,COM,651639106,160281217,1605220,SH,SOLE,321193,0,1284027
QUALCOMM INC,COM,747525103,158609705,927271,SH,SOLE,437747,0,489524
GILEAD SCIENCES INC,COM,375558103,152891449,1245653,SH,SOLE,355453,0,890200
BANK NEW YORK MELLON CORP,COM,064058100,149861742,1290910,SH,SOLE,754144,0,536766
COSTCO WHSL CORP NEW,COM,22160K105,147730052,171313,SH,SOLE,75690,0,95623
JOHNSON & JOHNSON,COM,478160104,147714908,713771,SH,SOLE,352323,0,361448
FREEPORT-MCMORAN INC,CL B,35671D857,145810776,2870856,SH,SOLE,914295,0,1956561
CAPITAL ONE FINL CORP,COM,14040H105,142790514,589167,SH,SOLE,115241,0,473926
BOSTON SCIENTIFIC CORP,COM,101137107,141993694,1489184,SH,SOLE,922673,0,566511
WELLS FARGO CO NEW,COM,949746101,141736416,1520777,SH,SOLE,1046916,0,473861
UBER TECHNOLOGIES INC,COM,90353T100,140198181,1715802,SH,SOLE,548591,0,1167211
NORTHERN TR CORP,COM,665859104,136899650,1002267,SH,SOLE,589667,0,412600
PARKER-HANNIFIN CORP,COM,701094104,135328197,153964,SH,SOLE,35535,0,118429
DEVON ENERGY CORP NEW,COM,25179M103,132206022,3609228,SH,SOLE,1520103,0,2089125
INTUIT,COM,461202103,132189886,199556,SH,SOLE,111046,0,88510
DELTA AIR LINES INC DEL,COM NEW,247361702,125197947,1804005,SH,SOLE,684865,0,1119140
AECOM,COM,00766T100,122180266,1281656,SH,SOLE,559317,0,722339
CONSOLIDATED EDISON INC,COM,209115104,119412933,1202305,SH,SOLE,752466,0,449839
SALESFORCE INC,COM,79466L302,116874053,441184,SH,SOLE,258982,0,182202
VISA INC,COM CL A,92826C839,116370839,331815,SH,SOLE,70529,0,261286
INVESCO EXCH TRADED FD TR II,PURBTA MSCI US,46138E461,112830105,1648358,SH,SOLE,1648358,0,0
US FOODS HLDG CORP,COM,912008109,112748994,1496933,SH,SOLE,743696,0,753237
MICRON TECHNOLOGY INC,COM,595112103,111005938,388935,SH,SOLE,131700,0,257235
COCA COLA CO,COM,191216100,109110844,1560733,SH,SOLE,685278,0,875455
BAKER HUGHES COMPANY,CL A,05722G100,109001356,2393530,SH,SOLE,1285509,0,1108021
EBAY INC.,COM,278642103,107683995,1236326,SH,SOLE,629927,0,606399
STATE STR CORP,COM,857477103,107490745,833197,SH,SOLE,439157,0,394040
VENTAS INC,COM,92276F100,106152592,1371835,SH,SOLE,804134,0,567701
GENERAL MTRS CO,COM,37045V100,104410407,1283945,SH,SOLE,629013,0,654932
VEEVA SYS INC,CL A COM,922475108,103626491,464214,SH,SOLE,204579,0,259635
DTE ENERGY CO,COM,233331107,103587578,803129,SH,SOLE,253325,0,549804
NRG ENERGY INC,COM NEW,629377508,102322847,642570,SH,SOLE,360144,0,282426
BORGWARNER INC,COM,099724106,101199353,2245880,SH,SOLE,1101201,0,1144679
ALLEGION PLC,ORD SHS,G0176J109,99400568,624297,SH,SOLE,342291,0,282006
HOWMET AEROSPACE INC,COM,443201108,98957003,482670,SH,SOLE,103247,0,379423
HCA HEALTHCARE INC,COM,40412C101,98463108,210905,SH,SOLE,25409,0,185496
INCYTE CORP,COM,45337C102,97991199,992115,SH,SOLE,506069,0,486046
EXPEDIA GROUP INC,COM NEW,30212P303,97869156,345449,SH,SOLE,175419,0,170030
ALTRIA GROUP INC,COM,02209S103,96976912,1681875,SH,SOLE,79502,0,1602373
ZOOM COMMUNICATIONS INC,CL A,98980L101,96971149,1123782,SH,SOLE,453254,0,670528
NATERA INC,COM,632307104,90128588,393420,SH,SOLE,181153,0,212267
CONSTELLATION ENERGY CORP,COM,21037T109,86999096,246268,SH,SOLE,54240,0,192028
POPULAR INC,COM NEW,733174700,84708715,680282,SH,SOLE,383623,0,296659
AMGEN INC,COM,031162100,84433870,257963,SH,SOLE,40400,0,217563
VERTIV HOLDINGS CO,COM CL A,92537N108,81064296,500366,SH,SOLE,74056,0,426310
AUTODESK INC,COM,052769106,80298633,271270,SH,SOLE,170998,0,100272
CISCO SYS INC,COM,17275R102,80060745,1039345,SH,SOLE,602108,0,437237
ALCOA CORP,COM,013872106,79522310,1496468,SH,SOLE,669804,0,826664
ELASTIC N V,ORD SHS,N14506104,77807156,1031378,SH,SOLE,514175,0,517203
DOORDASH INC,CL A,25809K105,76854176,339342,SH,SOLE,111474,0,227868
GE AEROSPACE,COM NEW,369604301,76522661,248426,SH,SOLE,104700,0,143726
BERKSHIRE HATHAWAY INC DEL,CL B NEW,084670702,76291714,151779,SH,SOLE,51737,0,100042
OSHKOSH CORP,COM,688239201,76257787,607003,SH,SOLE,393116,0,213887
SNOWFLAKE INC,COM SHS,833445109,76181754,347291,SH,SOLE,192011,0,155280
UNITEDHEALTH GROUP INC,COM,91324P102,74688378,226253,SH,SOLE,15410,0,210843
MERCK & CO INC,COM,58933Y105,74254825,705442,SH,SOLE,93900,0,611542
SCHWAB CHARLES CORP,COM,808513105,72378800,724440,SH,SOLE,199710,0,524730
MEDTRONIC PLC,SHS,G5960L103,71955088,749064,SH,SOLE,188314,0,560750
SS&C TECHNOLOGIES HLDGS INC,COM,78467J100,71116695,813506,SH,SOLE,404596,0,408910
CORTEVA INC,COM,22052L104,70888247,1057560,SH,SOLE,613689,0,443871
KEYCORP,COM,493267108,69489472,3366738,SH,SOLE,1490425,0,1876313
ITT INC,COM,45073V108,67397357,388435,SH,SOLE,243883,0,144552
MERCADOLIBRE INC,COM,58733R102,66720348,33124,SH,SOLE,4201,0,28923
PALO ALTO NETWORKS INC,COM,697435105,66059093,358627,SH,SOLE,92759,0,265868
AMERICAN EXPRESS CO,COM,025816109,65282857,176464,SH,SOLE,61842,0,114622
INTERCONTINENTAL EXCHANGE IN,COM,45866F104,64531018,398438,SH,SOLE,107626,0,290812
NEXTERA ENERGY INC,COM,65339F101,64379583,801938,SH,SOLE,516471,0,285467
AMERICAN TOWER CORP NEW,COM,03027X100,64291100,366185,SH,SOLE,176450,0,189735
AMETEK INC,COM,031100100,64266547,313022,SH,SOLE,107442,0,205580
ENTERGY CORP NEW,COM,29364G103,63933369,691695,SH,SOLE,176029,0,515666
ABBVIE INC,COM,00287Y109,62921805,275381,SH,SOLE,114409,0,160972
ADVANCED MICRO DEVICES INC,COM,007903107,60197806,281088,SH,SOLE,173162,0,107926
CROWN HLDGS INC,COM,228368106,59717966,579955,SH,SOLE,376002,0,203953
TYSON FOODS INC,CL A,902494103,57444141,979941,SH,SOLE,824891,0,155050
DUPONT DE NEMOURS INC,COM,26614N102,57371470,1427151,SH,SOLE,892082,0,535069
PEPSICO INC,COM,713448108,57156696,398249,SH,SOLE,351584,0,46665
CITIGROUP INC,COM NEW,172967424,57057092,488963,SH,SOLE,53103,0,435860
NASDAQ INC,COM,631103108,56574728,582464,SH,SOLE,360457,0,222007
APPLIED MATLS INC,COM,038222105,56545767,220031,SH,SOLE,42059,0,177972
EMCOR GROUP INC,COM,29084Q100,56525725,92394,SH,SOLE,14761,0,77633
BRIDGEBIO PHARMA INC,COM,10806X102,56514101,738843,SH,SOLE,89512,0,649331
RTX CORPORATION,COM,75513E101,55732326,303884,SH,SOLE,160807,0,143077
ICICI BANK LIMITED,ADR,45104G104,54524941,1829696,SH,SOLE,63596,0,1766100
AXIS CAP HLDGS LTD,SHS,G0692U109,53587943,500401,SH,SOLE,265180,0,235221
US BANCORP DEL,COM NEW,902973304,52241734,979043,SH,SOLE,17333,0,961710
FORD MTR CO,COM,345370860,51945845,3959287,SH,SOLE,1022633,0,2936654
AGILENT TECHNOLOGIES INC,COM,00846U101,51773819,380494,SH,SOLE,232845,0,147649
APTIV PLC,COM SHS,G3265R107,51554475,677546,SH,SOLE,166587,0,510959
CENTENE CORP DEL,COM,15135B101,51206031,1244375,SH,SOLE,27078,0,1217297
APPLOVIN CORP,COM CL A,03831W108,51163153,75930,SH,SOLE,18006,0,57924
TE CONNECTIVITY PLC,ORD SHS,G87052109,51013202,224224,SH,SOLE,56579,0,167645
MONOLITHIC PWR SYS INC,COM,609839105,50839545,56092,SH,SOLE,12044,0,44048
ELEVANCE HEALTH INC FORMERLY,COM,036752103,50448702,143913,SH,SOLE,38621,0,105292
GE VERNOVA INC,COM,36828A101,50221626,76842,SH,SOLE,37406,0,39436
CARDINAL HEALTH INC,COM,14149Y108,49700175,241850,SH,SOLE,63185,0,178665
EOG RES INC,COM,26875P101,49101731,467591,SH,SOLE,333810,0,133781
INTERACTIVE BROKERS GROUP IN,COM CL A,45841N107,48873542,759968,SH,SOLE,137991,0,621977
ROSS STORES INC,COM,778296103,48528275,269392,SH,SOLE,136269,0,133123
COMCAST CORP NEW,CL A,20030N101,48358104,1617869,SH,SOLE,1321513,0,296356
CURTISS WRIGHT CORP,COM,231561101,48319367,87651,SH,SOLE,27439,0,60212
